Date,Price,Open,High,Low,Vol.,Change %
14-Jan-13,"58,743","58,300","58,964","58,300",55.52K,0.93%
12-Jan-13,"58,199","58,222","58,249","58,125",1.64K,0.16%
11-Jan-13,"58,105","58,620","58,650","57,810",60.30K,-0.98%
10-Jan-13,"58,680","58,064","58,730","57,881",58.55K,1.22%
9-Jan-13,"57,970","58,350","58,398","57,705",52.28K,-0.86%
8-Jan-13,"58,470","58,050","58,650","58,050",64.00K,0.84%
7-Jan-13,"57,983","58,200","58,424","57,768",67.63K,-0.01%
5-Jan-13,"57,986","57,701","58,220","57,701",4.95K,0.78%
4-Jan-13,"57,537","58,525","58,525","56,805",110.30K,-1.90%
3-Jan-13,"58,651","58,910","59,340","58,550",56.89K,-0.49%
2-Jan-13,"58,938","58,016","59,580","57,896",88.59K,1.76%
1-Jan-13,"57,918","57,851","57,973","57,755",7.22K,0.09%
31-Dec-12,"57,864","57,749","58,030","57,523",37.41K,0.35%
29-Dec-12,"57,660","57,580","57,680","57,580",1.85K,0.25%
28-Dec-12,"57,516","58,151","58,151","57,440",41.92K,-1.13%
27-Dec-12,"58,175","57,597","58,444","57,227",66.89K,1.22%
26-Dec-12,"57,472","57,790","57,860","57,270",42.96K,-0.45%
24-Dec-12,"57,729","58,149","58,338","57,665",41.99K,-0.75%
22-Dec-12,"58,165","58,149","58,199","57,801",2.14K,-0.21%
21-Dec-12,"58,286","57,599","58,466","57,288",85.47K,1.63%
20-Dec-12,"57,351","59,501","59,914","57,223",108.53K,-3.78%
19-Dec-12,"59,607","60,556","60,700","59,525",86.29K,-1.78%
18-Dec-12,"60,687","61,607","62,164","60,566",75.07K,-1.30%
17-Dec-12,"61,484","61,444","61,820","61,230",50.58K,0.22%
15-Dec-12,"61,347","61,342","61,392","61,220",1.68K,0.09%
